,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,corr_low,corr_high,Divergence_diff_extereme,Divergence_num_exteremes_min,Divergence_num_exteremes_max,frequency,score
124,OHLC/4,125.0,311.0,26.0,macdh,0.6470783471601156,0.6696690504269182,6.0,243.0,81.0,4H,0.120122868807764
125,OHLC/4,119.0,671.0,16.0,macdh,0.511607587664388,0.5563781430974788,3.0,110.0,152.0,4H,0.1195325256541419
126,OHLC/4,179.0,693.0,19.0,macdh,0.175116869462465,0.1783434422091147,2.0,16.0,4.0,4H,0.1190308760028463
127,OHLC/4,81.0,253.0,13.0,macds,0.6603754412714048,0.6073677862538077,5.0,315.0,98.0,4H,0.1170669273850126
128,OHLC/4,105.0,298.0,32.0,macdh,0.4903154938991906,0.5320503103042029,3.0,332.0,80.0,4H,0.1161073882678894
129,high,282.0,437.0,26.0,macdh,0.1571884135725755,0.1460617517890354,4.0,361.0,3.0,4H,0.1124906022223306
130,OHLC/4,15.0,63.0,29.0,macd,0.5037072249282011,0.4684210505915114,5.0,205.0,123.0,4H,0.1122850520889035
131,HL/2,244.0,484.0,28.0,macd,0.4937620700433742,0.4693314540822703,4.0,455.0,5.0,4H,0.1116133676874246
132,HLC/3,18.0,607.0,30.0,macdh,0.5771492571955944,0.5638040597411494,3.0,474.0,151.0,4H,0.1091839437411832
133,HLCC/4,135.0,301.0,21.0,macd,0.4630568892496649,0.460245815805267,5.0,124.0,29.0,4H,0.1085404996378068
134,HLC/3,57.0,384.0,40.0,macdh,0.4537765761173329,0.4655784511737313,4.0,118.0,100.0,4H,0.1082252834259973
135,HLCC/4,43.0,98.0,15.0,macds,0.2354157882033935,0.259360778308031,3.0,115.0,21.0,4H,0.1068866077150694
136,HL/2,10.0,315.0,45.0,macd,0.1854695948239195,0.1780383166863627,1.0,200.0,10.0,4H,0.1059325844180307
137,HL/2,56.0,195.0,46.0,macds,0.4475587502105289,0.4404634745163768,5.0,105.0,31.0,4H,0.1057556878685605
138,high,62.0,400.0,44.0,macdh,0.5495012349219763,0.5331159907060045,4.0,321.0,100.0,4H,0.1054265814745273
139,HLC/3,76.0,562.0,2.0,macds,0.4486780286790178,0.4332030224002384,4.0,38.0,110.0,4H,0.1052589848296097
140,high,193.0,339.0,31.0,macdh,0.4088608568689508,0.4648438749083066,5.0,467.0,84.0,4H,0.1044747400476009
141,HL/2,35.0,43.0,14.0,macds,0.3140324933042043,0.3420691389797445,3.0,492.0,56.0,4H,0.1024148250084677
142,high,16.0,424.0,18.0,macd,0.3917825367763545,0.4097464116018739,6.0,319.0,76.0,4H,0.0987575925432827
143,close,79.0,231.0,29.0,macds,0.4302245406954582,0.5363813816598261,6.0,113.0,51.0,4H,0.0973665141256994
144,high,106.0,227.0,47.0,macd,0.404141973610453,0.3776791394010448,4.0,406.0,29.0,4H,0.0971112181896114
145,HL/2,265.0,673.0,46.0,macd,0.3541913437494581,0.4304055683671066,2.0,423.0,19.0,4H,0.097070893004351
146,HLC/3,40.0,612.0,5.0,macd,0.4008755189840003,0.3598150912797441,4.0,335.0,97.0,4H,0.0952971808786342
147,low,97.0,572.0,7.0,macd,0.3701356901509968,0.3552213252716638,5.0,24.0,104.0,4H,0.0923996688547611
148,low,83.0,231.0,28.0,macds,0.4305040246875192,0.4233719675001883,3.0,66.0,92.0,4H,0.0900021951643517
149,low,85.0,391.0,15.0,macds,0.3899525741957688,0.4484580948374025,6.0,253.0,38.0,4H,0.0887696587121267
150,close,4.0,75.0,19.0,macdh,0.4201256038127337,0.4000573072379914,6.0,74.0,132.0,4H,0.0876032966106219
151,HL/2,90.0,251.0,28.0,macds,0.5450625092878137,0.2801324353122916,1.0,217.0,86.0,4H,0.0848444098337722
152,high,86.0,239.0,20.0,macds,0.3364346534755774,0.4518879715457477,3.0,350.0,60.0,4H,0.0847221883823857
153,low,160.0,218.0,30.0,macdh,0.2650430964588576,0.2822979347269569,3.0,242.0,130.0,4H,0.084276157906622
154,HL/2,144.0,262.0,44.0,macd,0.405638655892694,0.3638860590829038,4.0,394.0,113.0,4H,0.083892199565162
155,HLCC/4,26.0,29.0,19.0,macd,0.0918280795560031,0.0770111005788011,2.0,338.0,5.0,4H,0.0833900488155084
156,close,35.0,309.0,38.0,macd,0.3513562537477599,0.4114863883671844,2.0,282.0,48.0,4H,0.0833145879891154
157,HL/2,116.0,278.0,21.0,macd,0.3874705739401702,0.367585308147306,2.0,463.0,80.0,4H,0.0828995718257811
158,OHLC/4,70.0,605.0,12.0,macd,0.3143101039475572,0.2990570125911186,3.0,408.0,61.0,4H,0.0826205080277586
159,high,2.0,457.0,48.0,macd,0.3097869528948019,0.1813960910239679,2.0,231.0,29.0,4H,0.0825208480181698
160,high,91.0,247.0,23.0,macds,0.3220609706903338,0.4261498357939391,5.0,195.0,112.0,4H,0.081881691330045
161,HL/2,155.0,281.0,44.0,macd,0.3625208135605335,0.3593620482660608,6.0,233.0,86.0,4H,0.0804714294095031
162,OHLC/4,66.0,312.0,40.0,macdh,0.2365508119296193,0.2640349456460997,3.0,7.0,75.0,4H,0.0793521345297484
163,open,289.0,665.0,4.0,macd,0.2452910805549578,0.280943796459942,4.0,389.0,15.0,4H,0.0744990642618219
164,HL/2,172.0,303.0,28.0,macd,0.335926564834861,0.2966312901454552,6.0,425.0,83.0,4H,0.0735936653537797
165,OHLC/4,111.0,380.0,11.0,macd,0.2616409450392865,0.2518496688555048,3.0,114.0,80.0,4H,0.0733949391167406
166,close,119.0,250.0,14.0,macds,0.1751612363131344,0.2637933301399581,3.0,460.0,15.0,4H,0.0717679596950614
167,low,91.0,524.0,24.0,macd,0.2514633511512368,0.2415890629135309,3.0,120.0,67.0,4H,0.0714333590799335
168,low,7.0,442.0,37.0,macds,0.2618711514564086,0.3455204013631405,3.0,205.0,19.0,4H,0.0712645884679169
169,close,131.0,325.0,49.0,macds,0.5751490251976942,0.1533686852764069,5.0,48.0,109.0,4H,0.0706630466232255
170,low,90.0,530.0,29.0,macd,0.2435824140496478,0.2281611090787823,4.0,331.0,96.0,4H,0.0693446456572488
171,OHLC/4,134.0,128.0,4.0,macd,0.281316899462913,0.2706004901416375,3.0,460.0,391.0,4H,0.0672762017288226
172,HLCC/4,126.0,507.0,35.0,macd,0.2774479250589375,0.2581896256649726,6.0,137.0,90.0,4H,0.0659265101543384
173,HLC/3,35.0,111.0,44.0,macd,0.1000735823458078,0.1301203309053751,4.0,457.0,25.0,4H,0.065921805795374
174,OHLC/4,100.0,682.0,46.0,macdh,0.3229518645286979,0.2138525096340322,3.0,150.0,130.0,4H,0.0651284455701069
175,close,47.0,466.0,35.0,macds,0.2046067119231264,0.3325273505325743,6.0,378.0,111.0,4H,0.0648040895074975
176,close,227.0,261.0,30.0,macdh,0.1965784162602798,0.1729983750144499,5.0,68.0,86.0,4H,0.0647971564163595
177,open,167.0,363.0,15.0,macd,0.4123116405450616,0.1571230296519498,3.0,209.0,361.0,4H,0.0637541525624404
178,low,27.0,337.0,24.0,macd,0.2362776113672171,0.178931531955232,1.0,32.0,30.0,4H,0.0633024084938993
179,OHLC/4,59.0,311.0,42.0,macdh,0.2069031920541137,0.2024866345508774,5.0,264.0,70.0,4H,0.0631109815201639
180,HLC/3,82.0,194.0,48.0,macds,0.2610805201761706,0.2370811265509806,1.0,193.0,405.0,4H,0.0627928913491663
181,HLC/3,160.0,198.0,19.0,macds,0.1859065617177935,0.2100356137254996,5.0,12.0,17.0,4H,0.0616471451992498
182,high,133.0,262.0,20.0,macds,0.3036784030945406,0.1876711858673071,2.0,93.0,210.0,4H,0.0610881770651192
183,HL/2,91.0,314.0,32.0,macd,0.258151818453318,0.1974793446099925,5.0,359.0,275.0,4H,0.058859823082736
184,open,138.0,682.0,25.0,macdh,0.1459698797708597,0.2234994013276241,4.0,337.0,91.0,4H,0.0580626635897362
185,HLC/3,79.0,601.0,17.0,macd,0.1532924513557053,0.1190910500192965,5.0,255.0,9.0,4H,0.0567283255331471
186,HLC/3,30.0,191.0,38.0,macd,0.086478090702847,0.1108962047081729,6.0,326.0,25.0,4H,0.0535362054738971
187,close,85.0,355.0,12.0,macd,0.192729895954165,0.1437563191916965,3.0,436.0,169.0,4H,0.0480336225312391
