,RSI_apply_to,RSI_length,corr_low,corr_high,Divergence_diff_extereme,Divergence_num_exteremes_min,Divergence_num_exteremes_max,frequency,score
184,HL/2,127.0,0.3801514950624817,0.359683507402438,3.0,74.0,92.0,4H,0.0817797426515535
185,HLCC/4,86.0,0.2984540133524976,0.299753602774667,2.0,96.0,316.0,4H,0.081270143844689
186,HLC/3,131.0,0.3683612346578472,0.3457393942468983,2.0,70.0,77.0,4H,0.0798658146659242
187,OHLC/4,106.0,0.362610566752968,0.3504619852554173,4.0,75.0,222.0,4H,0.0798081274919219
188,HL/2,115.0,0.3042264907054766,0.2053097835970747,6.0,50.0,262.0,4H,0.0793534025479753
189,high,61.0,0.2710696305275621,0.2300775745387138,4.0,143.0,127.0,4H,0.0793137310719682
190,HLCC/4,7.0,0.1517798732529878,0.1563895160484713,5.0,66.0,221.0,4H,0.0780100588867654
191,HLCC/4,139.0,0.305190581498584,0.1942772807724601,6.0,47.0,149.0,4H,0.0779879868813996
192,OHLC/4,100.0,0.347475979023135,0.3371415709003367,6.0,69.0,340.0,4H,0.07767221583136
193,OHLC/4,108.0,0.2741745458296679,0.2121423143378569,2.0,50.0,304.0,4H,0.0774904424691795
194,close,81.0,0.2749993385654328,0.2790094948109399,6.0,109.0,329.0,4H,0.0772148136153883
195,HLC/3,25.0,0.2986899912705042,0.2564649640241059,3.0,212.0,317.0,4H,0.0771732259697317
196,HL/2,108.0,0.3462715749282816,0.3317534709883777,1.0,70.0,381.0,4H,0.077166849505281
197,HL/2,107.0,0.3441144313163604,0.329909395822303,4.0,69.0,500.0,4H,0.0768633285095247
198,HLCC/4,20.0,0.1325720972726889,0.1128718224273405,1.0,37.0,400.0,4H,0.0765689995984567
199,HLC/3,29.0,0.2715741661837734,0.1994788625271631,4.0,161.0,216.0,4H,0.0756760475875061
200,HL/2,99.0,0.2847038621357539,0.1895943733580542,5.0,52.0,59.0,4H,0.0755851124227419
201,HL/2,98.0,0.2832443278576713,0.1883397140649235,5.0,51.0,334.0,4H,0.0752889149905999
202,open,41.0,0.2772625059900553,0.2552876394254849,1.0,147.0,415.0,4H,0.0751664536466232
203,HL/2,25.0,0.3311819752660735,0.3134328361163049,5.0,217.0,62.0,4H,0.0746031316810327
204,low,211.0,0.2186561103863651,0.2360713663354603,4.0,23.0,64.0,4H,0.0744671911684233
205,HLCC/4,99.0,0.2272685744374756,0.1502842640239303,1.0,50.0,63.0,4H,0.0742810523053554
206,HLCC/4,113.0,0.3312595299644807,0.3078454380870223,4.0,77.0,456.0,4H,0.0741629559915374
207,high,122.0,0.1571188947221564,0.1426076908323813,4.0,32.0,199.0,4H,0.07388358428419
208,OHLC/4,15.0,0.3160993504129446,0.3118911404614307,1.0,280.0,44.0,4H,0.073332340172813
209,close,69.0,0.2073467861205308,0.1545363240809423,6.0,53.0,297.0,4H,0.0727170709700272
210,HLCC/4,25.0,0.2758001602925237,0.2310760552661822,5.0,212.0,275.0,4H,0.0725827752783827
211,high,36.0,0.2179959094203105,0.1729325327710567,2.0,79.0,435.0,4H,0.0722395472638463
212,open,35.0,0.3150442678875278,0.2936193999685169,5.0,102.0,480.0,4H,0.0717913477987642
213,HLC/3,4.0,0.2428173735694801,0.2417649883574016,5.0,139.0,312.0,4H,0.0706222373061853
214,HLC/3,4.0,0.2428173735694801,0.2417649883574016,3.0,150.0,259.0,4H,0.0706222373061853
215,low,59.0,0.2128828461276636,0.2023881069972428,6.0,65.0,50.0,4H,0.0701140758938905
9,low,51.0,0.33407369728586284,0.2531558817338305,5.0,131.0,112.0,4H,0.0696781747565658
216,high,7.0,0.1061310958922128,0.0931042514389223,5.0,52.0,487.0,4H,0.0695179610996486
217,high,14.0,0.0400116499408155,0.0385687861946609,4.0,3.0,125.0,4H,0.0691213271926868
218,high,35.0,0.2241791152975633,0.1796294986627878,3.0,123.0,182.0,4H,0.068552126606623
219,open,59.0,0.2136842111324782,0.1776613567172918,4.0,77.0,299.0,4H,0.0672179296326131
220,HLCC/4,294.0,0.1825921683475656,0.1654659881224874,6.0,20.0,392.0,4H,0.0671012011567244
221,OHLC/4,62.0,0.2451091656738671,0.2050323803646695,2.0,92.0,202.0,4H,0.0670570461002788
